    ac |           Alar Curvature Point | B | S |                  Alare crest | The most posterolateral point of curvature of the base line of each nasal ala; can be located by connecting an imaginary line from pronasale to the base line, and sweeping in a superior-inferior direction for the longest distance.
    al |                          Alare | B | S |                              | The most lateral point on the nasal aperture, or the point of maximal curvature along the curve between pronasale and the alar curvature point.
    ch |                       Cheilion | B | I |                              | Point marking the most lateral extent of the labial fissure, where the outer edges of the upper and lower vermilions meet.
     c |                      Columella | M | I | columella breakpoint (Naini) | Midpoint of the nasal columella crest intersecting a line between the two points at the tip of each nostril, or the point at the mid-columella where the columella takes a more horizontal course, extending posteriorly to subnasale.
   cph |                 Crista Philtri | B | I |                              | Point on each elevated margin of the philtrum at the vermilion border of the upper lip; the bilateral points mark the lateral crests of the philtrum.
    en |                   Endocanthion | B | S |                              | Apex of the angle formed at the inner corner of the palpebral fissures where the upper and lower eyelids meet.
    ex |                    Exocanthion | B | S |                              | Apex of the angle formed at the outer corner of the palpebral fissures where the upper and lower eyelids meet.
    ft |                Frontotemporale | B | S |                              | The point of concavity on either side of the forehead above the level of the supraorbital ridge (or the eyebrows), where the minimum bifrontal width can be attained.
     g |                       Glabella | M | S |                              | The most convex sagittal (or most anterior/prominent) midline point on the forehead, between the supraorbital ridges/eyebrows. If the glabellar region is flat, then this landmark should be placed in the midline between the eyebrows/supraorbital ridges. 
    gn |                       Gnathion | M | I |                              | The halfway point on the medial curve between pogonion and menton under the chin.
    go |                         Gonion | B | I |                              | The inferior aspect of the mandible at its most acute (mandibular angle) and lateral point.
    li |               Labrale Inferius | M | I |                              | The midline point on the lower vermilion border of the lower lip.
    ls |               Labrale Superius | M | I |                              | The midline point on the upper vermilion border of the upper lip.
    me |                         Menton | M | I |                              | The most inferior midline point of the chin.
   mio |               Mid-infraorbital | B | S |                              | The point bisecting the orbit in the infraorbital region, along the infraorbital-nasojugal crease (aka palpebromalar sulcus).
   mli |           Mid-Labrale Inferius | B | I |                              | Midpoint between cheilion and labrale inferius on the lower lip vermilion border.
   mls |           Mid-Labrale Superius | B | S |                              | Midpoint between cheilion and labrale superius on the upper lip vermilion border.
     n |                         Nasion | M | S |                              | Midline point in the nasal root region, at the level of the superior palpebral sulcus.
   mso |               Mid-supraorbital | B | S |                              | Point anteriorly adjacent to the superior orbital rim/ridge (or eyebrow if using texture only), in a sagittal bisecting the orbit.
    ps |            Palpebrale Superius | B | S |                              | The most superior point of the palpebral fissure on the inner margin of each upper eyelid. Ensure the landmark is not placed on the eyelash!
    pi |            Palpebrale Inferius | B | S |                              | The most inferior point of the palpebral fissure on the inner margin of each lower eyelid. Ensure the landmark is not placed on the eyelash!
    pg |                       Pogonion | M | I |                              | The point of maximal curvature on the midline chin curve, or in cases where the chin is flat, the point on the midline chin curve furthest from a line segment connecting sublabial and gnathion. 
   prn |                      Pronasale | M | S |                              | The most anteriorly protruded point of the nasal tip in the midline, or the point at which the nasal tip turns posteroinferiorly. Verify its position in profile view.
     p |                          Pupil | B | S |                              | The apex of the corneal region at the centre of the pupil. 3D imaging systems do not capture the curvature of the eyeball well; use texture information to accurately place this landmark.
    se |                        Sellion | M | S |                    subnasion | Deepest midline point of the nasofrontal angle; not a substitute for nasion but very close to and underneath it.
   sts |               Stomion Superius | M | I |                              | Midline point on the lower margin of the labial fissure of the open mouth (bottom of the upper lip). Coincident with Stomion Inferius if mouth is closed.
   sti |               Stomion Inferius | M | I |                              | Midline point on the upper margin of the labial fissure of the open mouth (top of the lower lip). Coincident with Stomion Superius if mouth is closed.
  sbal |                       Subalare | B | I |                              | The inferior-most point at the junction of each nasal alar base with the philtrum area, indicating the labial insertion of the alar base.
    sl |                      Sublabial | M | I |                 supramentale | Midline point of maximal concavity on the facial contour between labrale inferius (li) and menton (me), or deepest point of the mentolabial sulcus; defines the border between the lower lip and chin.
    sn |                      Subnasale | M | I |                              | The apex of the nasolabial angle in the midline, where the inferior border of the nasal septum merges with the upper cutaneous lip.
    zy |                         Zygion | B | S |                              | Most lateral points on the soft tissue zygomatic arch, identified as the points between which the maximum horizontal distance can be obtained, constrained within the horizontal levels of exocanthion and subnasale. 
    mf |                Maxillofrontale | B | S |                              | Point of concavity on either side of the nasal root of the nasal bridge area. 
   fbs |       Facial Border - Superior | M | S |                              | Most superior midline point on the border of the 3D facial template; used in place of trichion. May be difficult to place if hair present.
    lt |              Lateral Temporale | B | S |                              | Most lateral point at the temples, used as a substitute for eurion.
   mmb |          Mid-mandibular Border | B | I |                              | Point on the mandibular border, midway between pogonion (anterior-most chin point) and gonion (most acute & lateral point of the mandibular angle), along the jaw line.
   mnd |               Mid-nasal Dorsum | M | S |                              | Midline point midway along the nasal ridge/dorsum between nasion and pronasale.
   spl |                    Supralabial | M | I |                              | Midline point of maximal concavity on the facial contour between subnasale and labrale superius (or at the deepest midline point of the mentolabial angle). 
   chk |                      Cheekbone | B | S |                              | Most anterior point (or point of maximal convexity) on the facial contour of the cheekbone region (i.e., zygomatic bone + zygomatic process of maxilla); constrained within the horizontal levels of subnasale (inferior boundary) and mid-infraorbital (superior boundary). This is different from zygion, which is the most lateral point on the zygomatic arch (zygomatic bone + temporal bone). 
     m |                       Metopion | M | S |                              | Most anterior (or most convex) midline point on the frontal bone; use in place of glabella in juveniles. If the forehead region is relatively flat, place this landmark vertically at the midpoint between the superior facial border and glabella. 
   scm |          Superciliare Medialis | B | S |                              | Superior most intersection of the eyebrow in a sagittal plane through endocanthion.
   scl |         Superciliare Lateralis | B | S |                              | Superior most intersection of the eyebrow in a sagittal plane through exocanthion.
    rh |                        Rhinion | M | S |                              | Point in the midline at the end of the internasal suture where the bone ends and cartilage begins, marking the osseocartilagenous nasal junction. 
